Firm,KL Divergence
Citadel Information Services Inc,27.025856069834518
NETE,31.185712886077052
Karsun Solutions LLC,45.9625478297079
American Family Insurance,31.997071764125415
SOUTHERN HILLS COUNTRY CLUB,21.33237595894731
REASORS,28.159894932274668
UNITED STATES MARINE CORPS,19.692508481545406
UNITED STATES MARINE CORPS,42.413383045012125
US Airforce,35.03242850126575
US Airforce,25.53586658106351
Wurth,32.89059459806681
"USS BATAAN, US NAVY",38.54912957830944
AppLab Systems Inc,34.99595821673351
Infinite Computer Solutions,37.036561862523826
Jelani Consulting LLC,26.89697260308969
Somali Health Initiative for All Trust,22.384365699918902
Republic of Somaliland Ministry of Health,25.68354547856997
Jelani Consulting LLC,20.987337587375777
Jelani Consulting LLC,32.44469824219432
PenFed Credit Union,47.84868857554024
"Dep of Health and Human Services, MD",47.343529388768616
"Department of Labour - Washington, DC",35.05296193252746
PricewaterhouseCoopers,35.31413038109278
Deloitte,29.266257095077055
Unisys,35.96272801613904
McKesson,34.65238760979469
The Boeing Company,19.286491395621418
Cox Enterprises,30.10106318321445
Deloitte,52.705054606236175
The Boeing Company,32.03816778512654
Dimensional Fund Advisors,34.83815714834739
"AWS, RDS",37.45344148365288
Marsh & McLennan Companies,39.341681657022804
DirecTV,37.775909296471156
"UnitedHealth Group, MN",21.606056242917987
SUBARU AUTOMOTIVE,28.168749256433994
MATERIAL IN MOTION (MIM),16.611254909391384
Netlinks,21.554017285800263
Afghan Wireless Communication Company (AWCC),49.02307299015967
Brac Bank,37.88066828211547
Future Tech,32.601364328493865
The Parts House Acquisitions LLC,18.792248162059863
NETLINKS,35.21926568206073
Afghan Public Protection Force,28.78786163022822
TOWN RESIDENTIAL,31.220653706205862
TOWN RESIDENTIAL,32.870970014335875
SOUTH BRONX PREPARATORY,18.88696557776508
REI Systems,23.896489844201
The Shams Group,28.250539916726286
"Center of Information Technology and Management - Dallas, TX",36.3382622612591
Clover InfoTech Private Limited,23.973835369975305
Crown Castle,52.83602372018187
RDX,24.339145029481475
RDX,31.79157076406674
SouthCoast Health,27.9237318443554
ATC Healthcare Services,28.44702998417837
ORIENTAL BANK,23.232833473808515
ORIENTAL BANK,38.251964370040064
MetLife,35.164816568898274
African Development Foundation,27.50078751522136
Bank,26.77324631657775
Connections Education LLC,25.244027734171375
Xerox Corporation,31.012427254025003
New York Times,25.945029410816247
FedEx Supply Chain,30.988434244395975
Natsoft corporation,24.924821521781766
Sherwin-Williams,21.28993067750867
OSI consulting,47.27433944391065
Y-brant Digital,33.14382214682914
3k Technologies,28.115100860850468
XPO Logistics,20.441966911830754
,21.24060248018334
OIT- State of Colorado,50.436347391695236
Medtronic,30.40302502314654
LenderLive,23.868140229429873
Ball Aerospace,20.916007753800013
Northrop Grumman,23.374651466754162
"Polypore, Inc",45.34368934186377
Science Applications International Corporation,24.043224443295394
Employment Security Commission,27.89185024221094
Microsoft,25.258216357297623
Oracle Corp.,29.419741588581417
United Guaranty,19.67573160695217
"Hanes Brands, Inc",30.175667099216255
Posh Lane Freight,24.1479856181488
Apolinari Taxes & Multi-Services,29.76529584846199
"Intown Suites - Atlanta, GA",22.685442590276196
"Ceridian Inc - Atlanta, GA",37.85747475787263
"NBTY, Inc",27.735295654860725
North-Shore Medical Centre,32.95861854823556
MTA,26.951213624213334
Tech Global Solutions,17.03522052072774
QSSI,31.887933211275502
Disys,20.100810258448334
Mutual benefits assurance Ltd.,36.84701546302843
World Access Cybercafé,24.431359840536768
"FINITY COMMUNICATIONS, INC",51.39225942665345
VACASA,27.47744794434163
LINKTECH WORLDWIDE,29.821296383460705
Ntt Data,33.82897186703204
Techmahindra,27.54131223192029
Techmahindra,25.33128184656453
United Health Group,20.41617501071851
Bristol Myers Squibb,39.34150781811067
"Ambac Financial Group, Inc",38.34462577696236
Bon Secours Health System,23.71234375418156
Enterprise Holdings Inc,26.951213624213334
INFOSYS LTD,30.48893803460548
Huntington National Bank,36.53284633204893
Deutsche Bank,24.83996655809547
U.S Bank,29.978997249470105
NuStar Energy,21.718511245247825
General Dynamics Information Technology,24.356515624488416
Bucheon University,22.807204910608263
AJU IT,24.530977889951906
Point I,45.56961051155668
YMCA of the Greater Twin Cities,34.2170604195165
Westminster Presbyterian Church,23.342286092428267
Benilde St. Margaret's Catholic School,28.005866054467855
Alzheimer's Association,21.05192339332941
Scholarship America,33.773010265928505
Scholarship America,35.64019444980233
Salazar Inc,26.049421222894406
Geico Insurance,34.00201703249062
Berean Technologies,26.48710346558147
CCA Bank,30.333353921412918
OPTUM Care,27.35294986104013
M&T Bank,18.344147703293565
NBTY Inc,27.128901025561458
American Express,20.679761444357084
Conifer,19.69225267956288
CVS Health,37.737011216494636
"J.Crew Group, Inc",27.078904386513372
CCA Global Partners,26.777916716370733
Genesys,42.67628996607164
Goodwin College,20.027482736607492
4AllPromos/4AllGifts,50.634973647141265
Saybrook Country Barn,40.81649312827808
East Lyme Public Schools,24.711778066069602
The Whole Person,40.82879961844993
The Whole Person,12.369869050766418
The Whole Person,25.33128184656453
The Whole Person,41.35439542350344
James B Nutter & Company,19.043543225850552
Extreme Signs,28.98508837744606
"Xenial, Inc",36.18626663190318
ASCENSUS,33.13483250777024
IBM consulting,30.954569261957385
Pacific Northwest National Laboratory,29.223700788336615
International Arctic Research Center,21.104175976917777
Climate and Health Institute,20.523910606376155
Republic properties,53.203585338498975
Life Science Logistics,33.654723991098464
AT&T,26.759199553063212
"Danbury, CT",44.3442415852674
KENNY'S CARPET ONE,24.392534650506974
"ELITE REMODELING-DANBURY, CT, THE PHOENIX AGENCY-FISHKILL, NY, MIKE'S MASONRY- SHRUB OAK, NY",36.50271322425387
"NT Concepts, VA",27.192376325440904
"Mythics, Inc.",36.324054648959425
"Mythics, Inc.",27.142728030486992
"AINET Consulting Group, Inc",32.262366755951504
Thomson Reuters Corporation,26.223830085927418
SEI investments,25.80637920979069
Sony Corporation of America,30.223097154631095
Bayer Business Services,14.466928384127396
Directv,27.271051373659162
Navajo Nation Gaming Enterprise,21.03439127502246
Navajo Nation Gaming Enterprise,28.660268051072563
SRA International,35.30086886474892
APEX Inc.,39.44391161021886
"Blue Water Federal Solutions, Inc",22.135625716897444
"Blue Water Federal Solutions, Inc",42.434874979536005
RELIABLE GOVERNMENT SOLUTIONS INC,17.497161968974794
INDEPENDENT SOFTWARE INC,17.587519324981898
TANAGER INC,29.001473251908862
"SET FOCUS, LLC",26.610102848545253
TIAA-CREF,33.071455497809325
Canada Revenue Agency,33.1237350694785
City Credit Union,52.71703338734234
ATOS Digital Health Solutions,25.066855105474573
In-Telecom,36.61063878441773
Ultrafryer,54.60428404086558
AT&T,24.639869863712157
Aria Medical Equipment,24.743172433496877
Express Capital Funding,54.20585208514497
Springleaf Financial,29.901641561813626
Guardian International,28.339133914352804
Guardian International,37.8684222323389
SUBARU AUTOMOTIVE,35.81158897958883
MATERIAL IN MOTION (MIM),30.550794224976265
BOSTON SCIENTIFIC,20.04994321464806
Target corp,48.23102990270898
Lipsey Logistics Worldwide,25.35515109074816
Lipsey Logistics Worldwide,35.28699664031336
Comcast Cable,25.687163111521706
THE ALEXANDER GROUP,27.492340752859143
VOLUNTEERS OF AMERICA OF GREATER BATON ROUGE,41.33760575974356
ANTIOCHIAN ARCHDIOCESE OF NORTH AMERICA,44.27600106518824
ANTIOCHIAN ARCHDIOCESE OF NORTH AMERICA,23.655425927129443
AKS Cyber Tech Inc,28.08887194757921
Integrated Systems,53.5726888148517
Pacific Systems,21.571150448451046
PowerTrain Inc.,22.63727290008967
KCW Engineering Technologies,36.93067965345601
Safeway Inc,25.85153934582445
Joint Operational Test Team / Royal Netherlands Air Force,39.254113139901435
Royal Netherlands Air Force,25.97398897053534
Royal Netherlands Air Force,25.25632793941064
Frankort Engineering B.V.,40.77680171863293
Baltimore Police Department,48.5697811971914
Flemingo International,26.44112258531898
Omnitracs,46.497159508245744
Wells Fargo,46.00856011121841
Apple Federal Credit Union,25.00453772576298
Capital One,36.82604164814338
Apria Healthcare,25.973477030067496
"Xerox Business Services, LLC",19.369163794263212
ATG Learning Academy,22.68472123392864
Ellucian,28.53139247349263
San Jacinto Community College,24.741320682615452
Mastec Advanced Technologies,29.15854954855604
PNP Staffing Group,31.643008179937997
National Urban League,23.078771503200414
Pérez Art Museum Miami,45.06346116445588
Best Buddies International,24.74799304293653
Baxter Healthcare,28.30150069412494
Faberlic,43.644576011213836
Probusinessbank,37.11953901793651
Electronic Moscow,44.33954006164437
Alfa-Bank,31.354503090222696
Corporate Parking Group,35.174469220333954
Corporate Parking Group,18.934205254929097
Corporate Parking Group,37.14955254314955
Corporate Parking Group,33.119218564142955
Hamline University,42.279908598373154
Dick's Sporting Goods,22.620813895946455
Eberl Claims Service,42.63639470039289
C Spire,29.419463076104616
University of South Alabama,36.17401748735835
County of Mobile,29.592200061735475
Austal USA,43.576284962970554
General Motors,26.79236848610074
IBM,30.659930599286476
State Personnel Administration,46.87045392822998
Actimize,39.58383217163593
Actimize,43.85762835848102
Canon,30.525836683403412
Telstra,19.734764729487562
Telstra,23.767721923510063
Psychiatric Services of Carolina/Paradigm,29.095129804128085
Remote Database Experts (RDX),39.59499505528338
Apple Inc,35.45962446153722
Chesapeake Bay Program Office,23.912165057137486
Icreon,29.625296306155576
Cardinal Health Inc,17.185965066854408
Texas Instruments,20.02661285832702
Istation,26.396077193502478
ALDI,31.653841434532495
United Cerebral Palsy Seguin of Greater Chicago,32.91299828463194
SmartWitness,35.22177683379704
Lou Malnati's Pizzeria,30.561949195848925
CutieBit Multiverse,21.19998023784218
Scifutures,31.213875608371666
City of Phoenix,26.22270160552931
Promark One/IDRC,32.6463955298786
Choice Hotels International,17.973124055329457
Chipton Ross,59.048686704996825
Alorica,51.02201042210511
Snelling Services,34.17772427682847
Snelling,31.887872495690544
DOMA,26.681526964192663
ZAISCO,30.13332071220063
Escondido,50.208546497210236
"Alex Jenks, from Home and Mobile",28.5004929834217
"Alex Jenks, from Home and Mobile",42.31657916844895
Accumen,24.479928707686405
Roots Data Systems,19.803581158767226
Morgan State University,25.556959501857982
Aramark Refreshment,34.674465109955406
Toyota Financial Services,25.4148040741727
Verizon LLC,39.698090855224024
NBC BANK,26.971470552675306
Hewlett Packard Enterprise,30.066185703312797
IIM Lucknow,28.08468299425205
,39.49600224510179
,44.60918586706989
Living Spring Home Health Care Inc.,21.925137363772976
Ibaka Entertainment Inc,20.890049550787847
Ibaka Entertainment Inc,25.5433742883776
Holy Cross Hospital,55.15114431945709
ProQuest,47.53561293807907
Bison Production Company,31.899590718077484
Voogole IT Academy,25.366239365252518
N/A,37.282724316620474
Terra Nova Nurseries,18.93873613254948
School Gardening for South Carolina Educators,22.543923455736213
Favor TechConsulting LLC,36.25488689616369
Juniper Networks,43.59731949256369
Forsys Inc,29.20704656988557
Electronic Corporation of India(ECIL),42.620169405564354
Verizon Wireless,37.922174806244925
Walgreens,33.97017496340516
United Parcel Service,26.27382481552266
M&T Bank,31.55470690348458
KINETIK.Care,34.104673542684154
Karnaphuli Fertilizer Company,32.638312897443356
Marathon Oil,40.968916352231595
FedEX,22.35228707301813
Infosys,29.826832419541834
Reliance Industries Limited,22.277560420792895
TCS,22.882219140596376
TCS,33.13610863337176
TCS,31.306954065158664
"KELLOGG, BROWN & ROOT",24.492417693708884
Michael Baker International,36.15475823073813
3M HIS,28.303707252958898
Hitachi Consulting,39.178065591017976
IBM,15.690227365010507
Nalley,32.730875763939856
AutoNation,22.264587328803557
"Pacific System, INC",23.32938920489903
Hawai'i Pacific University,17.263539517050393
Stevens Institute of Technology,47.99635826663066
Lexian Software Development LLC,37.86567501227137
Remote Database Experts (RDX),33.14584704202036
Remote Database Experts (RDX),39.31791695102406
SERVER THE GRAND CONCOURSE,22.344003058210298
Dell Inc,39.56826817140967
Wells Fargo,44.69118868591647
Sprint,33.69062528595863
Datalogic Solutions Inc,19.40502657802037
Think Tech Consulting,24.339694498409038
The Midnight Mission,17.157598155268946
The Midnight Mission,37.08515006167343
Midnight Mission,33.66451185857234
Mitchell International,26.51882585266984
Human Performance Technologies,40.501802294290414
Partners In Leadership,23.459769538377344
Ivy Tech Community College,32.46985352252648
VR Systems,35.325484986218044
Elections,32.46985352252648
United States Army,43.00506664853896
Jade Global Inc,26.881731729115877
Barnes & Noble Inc,29.141609213133194
,42.98846513234583
ServiceNow,29.811053035289426
Focus Data Tech System Private Limited,30.398866638947194
Black & Veatch,24.20061720398705
Black & Veatch,41.02555582409688
Black & Veatch,23.510819680212606
Adams Gabbert - Contracted for Black & Veatch,40.08526673233374
SEVO Systems,27.865464130626933
"Knit-Rite, Inc",48.705788759865335
SYNAGRO Technologies,48.367646289230265
Office of Governor Gina Raimondo,23.127889290431273
City of Central Falls,35.97205529441125
American Cruise Lines,43.101404653110514
Next Media Inc,28.658403636499088
GENCO INC,41.29776792645413
Trumbull Industries,37.582489664413465
X-Culture,37.141271224476306
Subway,43.067943133049106
"Business Technology, LLC",30.137670341639243
Daniel & Associates,42.61565334478501
"Zwicker & Associates, P.C.",37.875027126023774
The Foley Law Firm,21.12279095060216
"ALTICE USA, INC",34.465657438597766
"GREATER NEWARK CONSERVANCY, INC",48.31969412905795
Indiana State Personnel Department,44.61245332911741
Express Employment Professionals,52.336518479267085
Data Recognition Corporation (DRC),31.160854816989577
Kimco Facility Services,33.78409090224835
Sure-tech Laboratories,30.807056810441793
Fastenal Company,24.126772299695443
NetApp,33.71131128272043
SoftTech Solutions,17.73682007608097
TD Ameritrade,21.1910258806647
UPS,28.05731665049602
Forest Water,36.87196883753359
In2IT Technologies,35.46196660104209
IPSOS,32.7024825188838
TATA Consultancy Services,46.424870983049814
MVN 2,42.77685722630032
Paragon One,32.14650665777323
Santa Barbara Public Library,38.342662761805386
University of Santa Barbara,23.220487518600518
University of Santa Barbara,29.43410430471077
Universal Herbs Inc,22.314228616019502
Lanco Global System Inc,25.359830167126077
ResourzNet Solutions Inc,12.496666289142903
Ozone Hospital,34.852913221034925
Brogdon Machine,23.70882852378373
Ticket Boat,40.832573195747344
Raymore-Peculiar High School,27.92747845027573
Pep Direct,24.98413013048593
Easter Seals of New Hampshire,36.36813915534048
Pishon Technologies Inc,30.051295408550363
Optum technologies,36.985282626152426
INFOSYS,22.056601164251408
AMAZON,48.291507173206604
"Sunny Shower USA, Inc",36.29550564670658
"Sunny Shower USA, Inc",35.795233383473345
Lien Hua Industrial Corp,43.684678053333755
Protech Solutions Inc,29.489602209720914
Noetic Partners Inc,30.82971644785005
UA Little Rock,40.184634564896164
Suntec India Pvt. Ltd,39.44769329161432
Tata Consultancy Services,35.428198350785536
DXC,27.441594368872504
RecruitTek,17.448288453389104
HTN Wireless,27.045214955661578
Enterprise Resource Performance Inc,27.79705603718319
Barstool Sports,38.50268201444277
American Medical Group Association,38.75382936853828
VCU International Consulting Program,32.08996169406227
MHC Kenworth,36.881537840059224
BenefitMall,29.91522166040051
Transport Enterprise Leasing,30.135189603892393
Peach State Health Plan,28.981475050043034
Global Employment Solutions,38.39671493970442
Iberian Pig,21.481253599698015
Oxford College,51.15996532837101
ACCENTURE,21.550182485230444
BANGKO SENTRAL NG PILIPINAS,41.019766586539816
Henderson County's IT department,44.388761514182065
,37.37143863511927
Surescripts,39.016829711444316
"State of Minnesota, DHS",29.573269733232017
Medtronic,26.499079256988182
Victory International Company,24.616391938845773
Visible Limousine and Transportation Serv,27.365063806488518
Amiable Limousine,19.532463054224667
Lazrador Cultivation,29.68274555282492
Floyd's 99 Barbershop,22.17483354362499
LuxHomesDenver,47.28306442334912
Lipsey Logistics Worldwide,36.06416759742992
Lipsey Logistics Worldwide,38.53952168957889
Comcast Cable,38.7091699715176
Chicago Transit Authority,45.29726410244224
"Skokie, IL",43.03684184171905
Loyola University Law Computing Center,36.21927118944807
CIBC Oppenheimer,35.48536294634042
Perella Weinberg Partners,23.51053484342911
Everest Regroup,21.461367670942508
Greenslate,20.283654795927507
Shenkman Capital,61.79631590144754
Deutsche Bank,41.929003817999636
AAA Computer Services,29.362658578416397
Brentwood Services Administrators,23.531153472037346
Brentwood Services Administrators,49.19086178957624
,41.2031828082303
Brentwood Services Administrators,33.968061568317545
Huntington Ingalls Industries,51.69796758843319
Scans America,34.41713247418848
NASA,22.424862774501634
NSWC Caderock,31.118322785416538
Archer Daniel Midland (ADM),45.661600424491
Archer Daniel Midland (ADM),52.21868019430745
Archer Daniels Midland (ADM),31.670027833547614
Illinois Department of Transportation (IDoT),48.66084855059673
Illinois Department of Public Health,45.12576631970839
Scott Community College,36.70955628570848
Placers - W. L. Gore & Associates,29.877144231285392
GameStop,32.65848077404361
Placers - W. L. Gore & Associates,29.4115617504109
Woody's Ice Cream Alley,17.180830318996684
NajaNaja Ltd,58.09662853898409
Super America LLC,20.788005251944963
United States Navy,38.66795378653902
United States Navy,38.060690452955804
United States Navy,35.96036469231765
Verizon Wireless,47.08109312254222
Allergan,33.6283975254653
US Army National Guard,38.655309952194386
US Army National Guard,34.762938409075566
Goodyear,25.563059653845837
United Community Bank,30.793860886793418
Valiant Communications Inc,54.68424292706453
Gartner Inc,25.60408186762294
SANEF,27.782217983659386
SWBC - SOUTHWEST BUSINESS CORPORATION,35.28558377032267
Idaho Power Company,43.12374951778828
Hooper Holmes,30.730200770971273
Digital Realty,36.376605418124
Remote Kumasi,35.0866164643334
Mona Telecom,45.087244651125516
Ashanti Region,46.52797686527197
Torres AES,31.27108684024831
Army National Guard - AF,51.93689547163842
Santander Bank,34.82238455877797
"Farmers Insurance - Zurich, CH",20.067318484601756
Capgemini India Pvt. Ltd,39.70564814373169
BNP Paribas Bank,25.08030014367791
"Flipkart.com - Mumbai, Maharashtra",53.7474016839057
"Clover Infotech - Mumbai, Maharashtra",39.64940777151877
"Pritchard & Jerden, Inc",28.765039570662793
ATGWork,54.28238656757227
Amazon,29.442843499881953
"Pritchard & Jerden, Inc",36.089608129014294
GSS InfoTech,23.46117781359399
GSS InfoTech\InfoVision,23.953731861507723
GSS InfoTech\InfoVision,19.561182323970545
Best Buy Co. Inc,21.391610241229685
Walgreens Co. Inc and Drugstore,34.52307216263322
The Hartford Life Insurance,46.132854834782115
UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE,34.23420338860814
WINTHROP UNIVERSITY,33.442252550593324
SC GOVERNOR'S SCHOOL FOR SCIENCE & MATHEMATICS,29.178901841715543
STINGRAY BOAT COMPANY,35.09338141068015
William-Sonoma Inc,23.566472389590952
Democratic Senatorial Campaign Committee,49.892720424749875
DXC Technology (Formerly HP Enterprise Services),36.48000642378928
Hewlett-Packard,44.648727278390986
Dignity Health Management Services Organization,42.886322502005854
The Avant Network,42.36874907301953
Broad Systems International,42.33826501747937
Modaj Pro IT Solutions,19.14192059087116
Teknokleen Group,17.94400017267636
Wells Fargo,25.159795212466456
"Federal Mogul, Bold",26.291668439220224
Chrysler,28.05693018781581
Dollar General,36.030534084144946
"Miller Coors, Irvin oil",33.124954695557896
Avis Budget Car Rental,43.08035504265585
Mahamittra Group LLC,22.955073525213194
Ellucian,47.7479349093218
Transdin Group LLC,36.12711652756083
Prime Therapeutics,42.82898242860251
"Solutran, Inc",24.349008962009307
Target Corporation,26.52546466648849
Minnesota Housing and Finance Agency,56.53737995449005
Thomson Reuters,28.692867743257096
Cargill Inc,32.252588652677
"Graco, Inc",29.72927356685952
"State of Minnesota, BWSR",31.129846613110836
Cargill Inc,22.893013954636842
TIAA-CREF,35.91369799077961
Lifetouch,32.9161655019894
Bank of America,55.29261537650795
KeyBank,34.67232953748555
Nationwide Insurance,29.643610856391646
North Jersey Insurance Group,35.23237481891388
Pitney Bowes,39.317840857892904
Leadiant Bioscience INC,30.700539629383805
Suntrust Bank,38.47061026009494
,32.53379291145119
Boston consulting,24.645290345707323
B.A. wholesale Trading,27.921758754812913
Pioneer diagnostic center & Boston consulting,41.98249703621893
"CHANDO GLOBAL GROUP, LLC",32.91234117562021
FIRST GULF BANK,23.326151613029836
FIRST GULF BANK,13.564361922873664
OldCastle Materials Incorporated,26.363824964400585
AAA Parking/Selig Enterprises,21.599688086549016
Voya,27.928004260976095
The Tech-Edge Group,51.20072284214589
Get Fabulous Inc,29.620483679888686
BOSS Dave Engineering,41.26166418214694
Cybernet LLC & Caspian Development Bank,42.900903619578195
Sinam LLC,45.17173278022694
Komtec LLC,38.51745402424863
Hewlett Packard Enterprise,43.05867874527448
Custom Maintenance Solutions,26.98835067695579
Transworks,32.19453439416457
Best Buy,28.587628384011154
Veeam Software,26.065044655161312
National Children Center,33.427607316708595
BMC,35.65328432302486
Target,29.586434543657848
Cardinal Health,48.23200964701836
United Services Automobile Association,29.062570733676747
Emergency Care Research Institute,33.16093384276243
Allergan,24.705994560767753
Farmers Insurance,19.883225680820594
Medtronics,30.83568893036864
Ogletree,58.44418499200076
Open Lane Inc,33.64104528906579
Hitachi Consulting (India) Pvt. Ltd,19.51722989266444
AT&T Global business services (India) Pvt. Ltd,33.19670754917969
PeopleSoft Financial,29.519747613445055
Windstream Communications,25.820019204202012
CDW,27.20874765444742
Con-way,43.52229398715195
Dedicated Care Health Service Inc,32.858377759683
Syniverse Technologies Inc,25.359211844965547
UNIVERSITY OF SOUTH,58.49984437976344
MAYER BROS,34.895561696177296
MORPHOTRUST USA,23.074347818833974
US NAVY,23.245506027754217
Insight Global,30.89558736230144
One Solutions,51.07645863152485
Alion Science & Technology,51.763747451191534
URAC,38.36423059295221
Northrop Grumman,32.77371039821328
AOL,43.990828602929106
Sunrise Senior Living,41.383649412900326
Data group USA,41.48438597314538
Inland Revenue Department,18.464664846650024
Copper Mobile,32.88169047710618
Walgreen Company,21.799552547853466
Webstaurant Store,31.633413743824217
VERIZON,34.12690081706904
RILEY TECHNOLOGIES,40.160586065957986
BARCLAYS,28.82112599170702
Thinkful Inc,48.45846387272192
Muscogee County School District,47.82527700519621
Total System Services,20.87800046160644
Aflac Group,36.39187074589613
Busha Limited,45.83380512499054
Texas State University Computing Services,40.500834503255284
Globacom Limited,21.041223837832334
Geoid Telecommunications LLC,33.68162871070056
Ricoh Global,52.84870737963614
Carter's DC,30.485114950012544
Calpine Corp,26.04628910933686
Coca Cola,41.73900642106712
NTTDATA Services,33.17807030366261
Stephenson Cancer Center,22.156265219433635
St. Anthony Hospital,47.639315854937024
MTN,25.75046559019566
Afro-Tech,38.647234497362156
State of Louisiana,25.22840530766926
Delta Dental Plan of Michigan,61.146091057866826
CHEMONICS (Remote),32.08267499659781
TCC Software Solutions,34.66775630444751
Verizon Wireless,26.93559847438919
Chevron ITC,27.82699080499691
Nepal Satellite Telecom,48.15659594385839
"Lenexa, KS",29.337278093429095
Cerner,26.976092800052257
NCR,37.34550917032206
Secure IP Telecom,28.67823641132668
S&K Logistics,37.34392549926619
Areva,32.440039402831104
Thomson High School,39.33601843149381
FIS Global,32.10594820262219
Hyundai Information Service,38.66629399459571
Acceptance Insurance,27.106431263547
YAI V,24.648289476989845
"NBTY, Inc",35.78403502621675
North-Shore Medical Centre,39.67661166194784
MTA,34.05445471042499
U.S. Army,22.220398401731252
Arkansas Army Air Support Facility,23.681631836072803
Arkansas Army Air Support Facility,44.99133526224532
